测试用例编号,测试标题,测试步骤,测试类别,预期结果,实际结果,执行人,执行日期,备注
TC-001,按退货单号查询,"1. 输入退货单号（支持模糊匹配）
2. 点击查询",功能测试,显示匹配的退货单列表,通过,XU Feiran,3/11/2026,
TC-002,按客户筛选,"1. 选择客户
2. 点击查询",功能测试,显示该客户的退货单,通过,XU Feiran,3/11/2026,
TC-003,按日期范围筛选,"1. 选择收件日期范围
2. 点击查询",功能测试,显示日期范围内的退货单,通过,XU Feiran,3/11/2026,
TC-004,分页功能,"1. 切换每页显示条数
2. 点击翻页",功能测试,正确显示对应页数据,通过,XU Feiran,3/11/2026,
TC-005,列排序,"1.点击列表头排序
2.切换升序/降序",功能测试,数据按选中字段排序,通过,XU Feiran,3/11/2026,
TC-006,重置查询,"1. 设置筛选条件
2. 点击重置",功能测试,筛选条件清空，显示全部数据,通过,XU Feiran,3/11/2026,
TC-007,正常创建,"1. 点击新建按钮
2. 填写必填项（客户、收件日期、退回数量）
3. 点击暂存",功能测试,退货单创建成功，状态为草稿,通过,XU Feiran,3/11/2026,
TC-008,新建页面无退件信息列表,"1. 点击新建退货单按钮
2. 查看页面内容",功能测试,新建页面只显示基本信息表单，不显示退件信息列表区域,通过,XU Feiran,5/29/2026,
TC-009,提交生成单号,"1. 新建退货单
2. 填写完整信息
3. 点击提交",功能测试,退货单提交成功，自动生成单号（格式：26QMC0001）,通过,XU Feiran,3/11/2026,
TC-010,必填项验证,"1. 不填写必填项
2. 点击提交",功能测试,表单验证失败，提示必填项,通过,XU Feiran,3/11/2026,
TC-011,日期限制,1. 收件日期选择未来日期,功能测试,验证失败，提示不能晚于当前日期,通过,XU Feiran,3/11/2026,
TC-012,创建BA20失效类型退货单,"1. 新建退货单
2. 选择""失效类型""为""BA20 - 0-km, uninstalled""
3. 填写其他信息
4. 点击暂存",功能测试,退货单创建成功，failureType字段值为BA20,通过,XU Feiran,5/29/2026,
TC-013,创建非BA20失效类型退货单,"1. 新建退货单
2. 选择""失效类型""为""BA40 - field product""
3. 填写其他信息
4. 点击暂存",功能测试,退货单创建成功，failureType字段值为BA40,通过,XU Feiran,5/29/2026,
TC-014,详情页显示失效类型,"1. 进入BA20退货单详情页
2. 查看基本信息",功能测试,"显示""失效类型：BA20""，并显示红色""0km""标签",通过,XU Feiran,5/29/2026,
TC-015,快递方式投诉日期禁用,"1. 新建退货单
2. 选择退回方式为""快递""
3. 查看投诉日期字段",功能测试,"投诉日期字段禁用，占位符显示""与收件日期一致""",通过,XU Feiran,5/29/2026,
TC-016,快递方式日期自动同步,"1. 新建退货单
2. 选择退回方式为""快递""
3. 填写收件日期为2026-03-10
4. 查看投诉日期",功能测试,投诉日期自动同步为2026-03-10,通过,XU Feiran,5/29/2026,
TC-017,快递方式修改收件日期同步,"1. 快递退货单已填写收件日期
2. 修改收件日期为2026-03-15
3. 查看投诉日期",功能测试,投诉日期自动更新为2026-03-15,通过,XU Feiran,5/29/2026,
TC-018,切换快递到自提日期独立,"1. 快递退货单（投诉日期已同步）
2. 切换退回方式为""自提""
3. 修改投诉日期",功能测试,投诉日期字段可编辑，可独立修改,通过,XU Feiran,5/29/2026,
TC-019,切换自提到快递日期同步,"1. 自提退货单（收件日期和投诉日期不同）
2. 切换退回方式为""快递""
3. 查看投诉日期",功能测试,投诉日期自动同步为收件日期,通过,XU Feiran,5/29/2026,
TC-020,自提方式日期独立,"1. 新建退货单
2. 选择退回方式为""自提""
3. 填写收件日期和投诉日期不同",功能测试,两个日期可以独立填写，无关联,通过,XU Feiran,5/29/2026,
TC-021,编辑草稿,"1. 创建草稿退货单
2. 点击编辑
3. 修改信息
4. 点击暂存",功能测试,编辑成功，信息更新,通过,XU Feiran,3/11/2026,
TC-022,编辑已提交（QMC Leader）,"1. QMC Leader登录
2. 进入已提交退货单
3. 点击编辑
4. 修改信息
5. 点击提交",功能测试,"编辑成功，信息更新，显示""提交""按钮",通过,XU Feiran,3/11/2026,
TC-023,编辑已提交（其他用户）,"1. 非QMC Leader用户登录
2. 查看已提交退货单详情页",权限测试,编辑按钮不可见,通过,XU Feiran,3/11/2026,
TC-024,取消编辑,"1. 进入编辑页面
2. 修改信息
3. 点击取消",功能测试,返回列表，修改不保存,通过,XU Feiran,3/11/2026,
TC-025,删除无退件信息的草稿,"1. 创建草稿退货单（无退件信息）
2. 选中记录
3. 点击删除
4. 确认删除",功能测试,显示简单确认对话框，删除成功，列表中不再显示,通过,XU Feiran,3/11/2026,
TC-026,删除已提交（QMC Leader）,"1. QMC Leader登录
2. 选中已提交退货单（无退件信息）
3. 点击删除
4. 确认删除",功能测试,删除成功，列表中不再显示,通过,XU Feiran,3/11/2026,
TC-027,删除已提交（其他用户）,"1. 非QMC Leader用户登录
2. 查看已提交退货单列表",权限测试,删除按钮不可见，无删除入口,通过,XU Feiran,3/11/2026,
