测试用例编号,测试标题,测试步骤,测试类别,建议测试的角色,预期结果,实际结果,执行人,执行日期,备注
TC-001,按退货单号搜索退货单,"1. 进入「退货单管理」页面
2. 在搜索框输入一个已存在的退货单号（可只输入部分编号）
3. 点击「查询」",退货单管理,客户质量工程师,列表只显示编号包含输入内容的退货单,,,,
TC-002,按客户筛选退货单,"1. 进入「退货单管理」页面
2. 在「客户」下拉中选择一个客户
3. 点击「查询」",退货单管理,客户质量工程师,列表只显示该客户的退货单,,,,
TC-003,按收件日期范围筛选,"1. 进入「退货单管理」页面
2. 选择一个收件日期范围（起止日期）
3. 点击「查询」",退货单管理,客户质量工程师,列表只显示收件日期在该范围内的退货单,,,,
TC-004,切换每页条数与翻页,"1. 在退货单列表下方切换「每页显示条数」
2. 点击下一页/上一页",退货单管理,客户质量工程师,列表正确显示对应页的数据，翻页正常,,,,
TC-005,点击列头排序,"1. 点击列表任意一列表头
2. 再次点击切换升序/降序",退货单管理,客户质量工程师,列表按所选字段升序或降序排列,,,,
TC-006,重置查询条件,"1. 先设置若干筛选条件并查询
2. 点击「重置」",退货单管理,客户质量工程师,筛选条件全部清空，列表恢复显示全部数据,,,,
TC-007,新建并暂存一个退货单,"1. 点击「新建退货单」
2. 填写必填项（客户、收件日期、退回数量等）
3. 点击「暂存」",退货单管理,分析员,退货单创建成功，状态显示为「草稿」,,,,
TC-008,新建页面不显示退件信息列表,"1. 点击「新建退货单」
2. 查看新建页面内容",退货单管理,分析员,新建页面只显示基本信息表单，不显示退件信息列表区域,,,,
TC-009,提交退货单自动生成单号,"1. 新建退货单并填写完整信息
2. 点击「提交」",退货单管理,分析员,提交成功，系统自动生成退货单号，格式为「年份后两位+QMC+4位序号」（如 26QMC0001）,,,,
TC-010,必填项未填时提交被拦截,"1. 新建退货单
2. 故意不填必填项
3. 点击「提交」",退货单管理,分析员,表单校验失败，提示哪些是必填项,,,,
TC-011,收件日期不能晚于今天,"1. 新建退货单
2. 将收件日期选择为一个未来日期",退货单管理,分析员,校验失败，提示不能晚于当前日期,,,,
TC-012,新建 0km（BA20）失效类型退货单,"1. 新建退货单
2. 「失效类型」选择 BA20（0-km, uninstalled）
3. 填写其他信息后暂存
4. 进入该退货单详情页",退货单管理,分析员,退货单创建成功；详情页显示「失效类型：BA20」并带红色「0km」标签,,,,BA20 代表 0 公里件
